epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5303,1.61602,1.86821,1.65216,0.63539,0.58357,0.61619,0.33637,1.43609,1.49186,1.54292,0.000364455,0.000364455,0.000364455
2,32.3015,1.54076,1.34811,1.54824,0.50254,0.58015,0.57072,0.28227,1.59496,1.65253,1.68421,0.00072024,0.00072024,0.00072024
3,46.0186,1.53135,1.32471,1.55367,0.59791,0.55911,0.6087,0.28283,1.73039,1.5383,1.85809,0.00106136,0.00106136,0.00106136
4,59.5511,1.55999,1.28515,1.56992,0.71662,0.5069,0.59991,0.29579,1.63229,1.38077,1.75519,0.00104501,0.00104501,0.00104501
5,73.0991,1.54291,1.28424,1.55628,0.65267,0.57688,0.65439,0.3433,1.56362,1.15189,1.68407,0.00102301,0.00102301,0.00102301
6,86.7326,1.52819,1.23228,1.53874,0.79285,0.59724,0.7518,0.38616,1.53357,1.08867,1.65047,0.00100101,0.00100101,0.00100101
7,100.356,1.49195,1.18269,1.51347,0.70417,0.68641,0.71726,0.35929,1.56634,1.03887,1.69759,0.000979013,0.000979013,0.000979013
8,113.802,1.50222,1.19435,1.53171,0.74248,0.6829,0.7516,0.41234,1.45934,0.99264,1.58605,0.000957015,0.000957015,0.000957015
9,127.304,1.48927,1.15329,1.50897,0.82949,0.68194,0.81271,0.43846,1.44845,0.93149,1.59224,0.000935018,0.000935018,0.000935018
10,140.676,1.46396,1.14576,1.50393,0.72167,0.78049,0.81007,0.40415,1.51531,0.96873,1.62791,0.00091302,0.00091302,0.00091302
11,154.061,1.45217,1.10789,1.48451,0.73758,0.68004,0.76083,0.41385,1.47534,0.9411,1.61208,0.000891022,0.000891022,0.000891022
12,167.595,1.4239,1.06016,1.47219,0.82577,0.76836,0.85767,0.45463,1.48507,0.87597,1.58536,0.000869024,0.000869024,0.000869024
13,181.098,1.42227,1.06164,1.47263,0.84813,0.76812,0.88252,0.45553,1.44145,0.86549,1.5655,0.000847026,0.000847026,0.000847026
14,194.538,1.40606,1.05148,1.4724,0.71471,0.79136,0.84143,0.45436,1.45141,0.85112,1.57288,0.000825029,0.000825029,0.000825029
15,208.101,1.40341,1.0206,1.45904,0.82814,0.79731,0.86304,0.46002,1.50799,0.84547,1.61443,0.000803031,0.000803031,0.000803031
16,221.681,1.41,1.0248,1.45935,0.77979,0.82361,0.86119,0.4701,1.45475,0.84484,1.57053,0.000781033,0.000781033,0.000781033
17,235.317,1.37514,0.98678,1.44102,0.66087,0.84477,0.81138,0.45689,1.38066,0.7982,1.51994,0.000759035,0.000759035,0.000759035
18,248.797,1.37657,0.98272,1.43882,0.78396,0.82728,0.84687,0.46752,1.40521,0.79199,1.53666,0.000737037,0.000737037,0.000737037
19,262.239,1.38205,0.9957,1.44882,0.83558,0.79073,0.85631,0.47287,1.39015,0.80501,1.53157,0.00071504,0.00071504,0.00071504
20,275.753,1.35769,0.95069,1.42707,0.76855,0.79408,0.85122,0.47018,1.37852,0.78765,1.52059,0.000693042,0.000693042,0.000693042
21,289.256,1.36866,0.964,1.43737,0.83873,0.80166,0.87529,0.49202,1.38766,0.78412,1.53633,0.000671044,0.000671044,0.000671044
22,302.798,1.3453,0.93772,1.42335,0.80397,0.80893,0.87031,0.47792,1.37218,0.78837,1.51521,0.000649046,0.000649046,0.000649046
23,316.752,1.34121,0.94104,1.41649,0.76899,0.82669,0.86772,0.48326,1.40167,0.77374,1.55025,0.000627048,0.000627048,0.000627048
24,330.364,1.32039,0.92377,1.39913,0.81254,0.81506,0.86695,0.48452,1.37784,0.77086,1.52179,0.000605051,0.000605051,0.000605051
25,343.872,1.33003,0.90358,1.41008,0.7841,0.85641,0.87809,0.49763,1.39933,0.73477,1.52267,0.000583053,0.000583053,0.000583053
26,357.462,1.31124,0.90429,1.39663,0.87644,0.809,0.88992,0.47419,1.41207,0.74928,1.53251,0.000561055,0.000561055,0.000561055
27,371.187,1.2937,0.88195,1.38989,0.84722,0.85056,0.88932,0.4877,1.39093,0.71032,1.52876,0.000539057,0.000539057,0.000539057
28,384.872,1.30502,0.88744,1.38565,0.80147,0.85207,0.88027,0.50047,1.3654,0.71488,1.52718,0.000517059,0.000517059,0.000517059
29,398.668,1.30943,0.86472,1.38187,0.83816,0.78583,0.85556,0.48381,1.39714,0.73049,1.53723,0.000495062,0.000495062,0.000495062
30,412.484,1.2919,0.86462,1.38535,0.86785,0.79958,0.8842,0.49463,1.38859,0.72074,1.5461,0.000473064,0.000473064,0.000473064
31,426.337,1.27268,0.84169,1.35796,0.8574,0.84525,0.89366,0.49811,1.36815,0.70353,1.51184,0.000451066,0.000451066,0.000451066
32,440.408,1.28641,0.85777,1.37444,0.83572,0.85239,0.89036,0.49986,1.37057,0.71803,1.51074,0.000429068,0.000429068,0.000429068
33,454.055,1.25358,0.8265,1.35226,0.87654,0.83218,0.90025,0.51386,1.3469,0.68179,1.49121,0.00040707,0.00040707,0.00040707
34,467.728,1.25263,0.81271,1.35457,0.83634,0.78325,0.83544,0.48168,1.35945,0.69642,1.50677,0.000385073,0.000385073,0.000385073
35,481.459,1.23467,0.82001,1.34462,0.85639,0.82507,0.89168,0.50674,1.34023,0.67735,1.48418,0.000363075,0.000363075,0.000363075
36,495.06,1.22479,0.7979,1.33265,0.89399,0.83786,0.89859,0.50262,1.37195,0.67413,1.5162,0.000341077,0.000341077,0.000341077
37,508.746,1.23889,0.7966,1.34078,0.84838,0.85701,0.88944,0.50857,1.37716,0.67612,1.50855,0.000319079,0.000319079,0.000319079
38,522.942,1.22701,0.79668,1.33466,0.87819,0.87454,0.92373,0.52564,1.3816,0.66155,1.50223,0.000297081,0.000297081,0.000297081
39,536.918,1.23088,0.77739,1.33577,0.85326,0.87879,0.89534,0.50706,1.36969,0.67693,1.50504,0.000275084,0.000275084,0.000275084
40,550.636,1.22407,0.77264,1.31703,0.85366,0.86606,0.90746,0.51992,1.35671,0.67711,1.49726,0.000253086,0.000253086,0.000253086
41,588.324,1.07902,0.59962,1.23792,0.84701,0.86286,0.90484,0.50513,1.37972,0.67321,1.53165,0.000231088,0.000231088,0.000231088
42,601.742,1.05286,0.58063,1.2315,0.8987,0.84359,0.90351,0.50552,1.3504,0.67423,1.50618,0.00020909,0.00020909,0.00020909
43,615.686,1.04383,0.57384,1.23374,0.85174,0.85314,0.89696,0.51093,1.34402,0.68016,1.49874,0.000187092,0.000187092,0.000187092
44,628.916,1.02146,0.55123,1.21223,0.84412,0.85516,0.90016,0.51795,1.37511,0.67221,1.51523,0.000165095,0.000165095,0.000165095
45,642.123,1.02186,0.55208,1.20207,0.84359,0.86595,0.90233,0.5163,1.3715,0.66593,1.52818,0.000143097,0.000143097,0.000143097
46,655.195,1.00392,0.53796,1.19947,0.88514,0.869,0.91622,0.51709,1.37149,0.66183,1.52588,0.000121099,0.000121099,0.000121099
47,668.339,0.98747,0.51983,1.18748,0.87987,0.84875,0.91451,0.51778,1.36234,0.65311,1.53293,9.91012e-05,9.91012e-05,9.91012e-05
48,681.447,0.97491,0.51521,1.17901,0.89532,0.84421,0.91708,0.51599,1.36717,0.65087,1.54109,7.71034e-05,7.71034e-05,7.71034e-05
