epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5849,1.70022,2.05518,1.70084,0.75063,0.57461,0.59719,0.32425,1.41972,1.31203,1.54942,0.000364455,0.000364455,0.000364455
2,99.3331,1.59872,1.43882,1.57435,0.67989,0.55476,0.56473,0.27867,1.69436,1.33054,1.79395,0.000727514,0.000727514,0.000727514
3,147.98,1.61498,1.42072,1.58085,0.65976,0.5894,0.64552,0.31203,1.60912,1.28676,1.72862,0.00108324,0.00108324,0.00108324
4,288.036,1.63109,1.39695,1.622,0.59248,0.47997,0.54999,0.25609,1.76109,1.47484,1.88132,0.001078,0.001078,0.001078
5,436.262,1.62446,1.38834,1.58271,0.61205,0.6187,0.65732,0.3352,1.55419,1.12737,1.649,0.001067,0.001067,0.001067
6,521.503,1.58891,1.29015,1.55798,0.57191,0.69384,0.71385,0.36468,1.5709,1.06741,1.67639,0.00105601,0.00105601,0.00105601
7,610.825,1.55668,1.28887,1.54095,0.8264,0.66259,0.7548,0.38597,1.57307,1.03535,1.69342,0.00104501,0.00104501,0.00104501
8,716.731,1.56254,1.27494,1.57356,0.69326,0.65984,0.72381,0.36652,1.54973,1.1069,1.65028,0.00103401,0.00103401,0.00103401
9,783.4,1.56502,1.2378,1.55883,0.78618,0.75343,0.80852,0.42115,1.47482,0.96911,1.59739,0.00102301,0.00102301,0.00102301
10,830.99,1.54809,1.21761,1.54915,0.78679,0.68796,0.7918,0.41115,1.50107,0.95252,1.61872,0.00101201,0.00101201,0.00101201
11,942.75,1.50767,1.15707,1.48358,0.78633,0.70622,0.78343,0.42141,1.469,0.92132,1.59742,0.00100101,0.00100101,0.00100101
12,998.5,1.49712,1.14861,1.52097,0.82573,0.73795,0.81262,0.42188,1.45009,0.89224,1.58323,0.000990012,0.000990012,0.000990012
