epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0458,1.54262,1.8213,1.62004,0.61393,0.50695,0.56578,0.27508,1.65343,1.52984,1.86133,0.000364455,0.000364455,0.000364455
2,84.8656,1.58652,1.40999,1.62907,0.63219,0.49131,0.56055,0.27443,1.64,1.88934,1.89805,0.00072024,0.00072024,0.00072024
3,129.18,1.59601,1.40075,1.64974,0.40604,0.57131,0.44019,0.19194,1.84516,2.64114,2.10703,0.00106136,0.00106136,0.00106136
4,164.285,1.60857,1.37084,1.66699,0.60846,0.43713,0.45189,0.20473,1.80036,1.93269,1.9849,0.00104501,0.00104501,0.00104501
5,215.388,1.59158,1.35243,1.63687,0.71297,0.59333,0.64897,0.31781,1.60971,1.5458,1.79035,0.00102301,0.00102301,0.00102301
6,260.205,1.5774,1.30315,1.61132,0.70034,0.65638,0.72663,0.37528,1.58732,1.10064,1.76392,0.00100101,0.00100101,0.00100101
7,289.61,1.51891,1.2311,1.57775,0.63465,0.70214,0.72554,0.37051,1.53265,1.11708,1.74933,0.000979013,0.000979013,0.000979013
8,318.522,1.53032,1.23792,1.60211,0.70852,0.74578,0.76484,0.40099,1.53004,1.03454,1.69355,0.000957015,0.000957015,0.000957015
9,348.872,1.52004,1.19572,1.5837,0.6865,0.73993,0.75661,0.39128,1.53237,1.09587,1.75766,0.000935018,0.000935018,0.000935018
10,406.177,1.48703,1.17475,1.57252,0.76421,0.72765,0.79096,0.42961,1.50197,0.99839,1.67919,0.00091302,0.00091302,0.00091302
11,435.386,1.47178,1.12815,1.54922,0.85132,0.68402,0.82163,0.43927,1.47275,0.9149,1.66251,0.000891022,0.000891022,0.000891022
12,463.656,1.43791,1.08639,1.538,0.78614,0.75031,0.81322,0.44252,1.50049,0.89681,1.66993,0.000869024,0.000869024,0.000869024
13,492.345,1.4337,1.09471,1.53254,0.75431,0.77174,0.83909,0.44952,1.43631,0.87291,1.6447,0.000847026,0.000847026,0.000847026
14,521.296,1.41768,1.0788,1.53402,0.80606,0.68482,0.77891,0.42994,1.46723,0.88036,1.65684,0.000825029,0.000825029,0.000825029
15,552.373,1.40528,1.03725,1.51143,0.85183,0.77088,0.85628,0.45972,1.48482,0.83997,1.66555,0.000803031,0.000803031,0.000803031
16,581.369,1.40876,1.03584,1.51405,0.72896,0.80831,0.85257,0.44692,1.49316,0.8765,1.66103,0.000781033,0.000781033,0.000781033
17,610.628,1.38738,1.00703,1.49746,0.81523,0.82046,0.86338,0.47271,1.42086,0.80739,1.60928,0.000759035,0.000759035,0.000759035
