epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4558,1.67206,2.01984,1.76768,0.70841,0.49487,0.54864,0.27167,1.60012,1.62879,1.83431,0.000364455,0.000364455,0.000364455
2,54.0433,1.57439,1.39441,1.63778,0.54065,0.47717,0.51841,0.24809,1.6704,1.48813,1.84238,0.00072024,0.00072024,0.00072024
3,78.4226,1.57493,1.36134,1.6388,0.63884,0.61361,0.67449,0.32228,1.66054,1.43117,1.87143,0.00106136,0.00106136,0.00106136
4,101.391,1.57397,1.30992,1.64794,0.77728,0.49977,0.58962,0.28168,1.67289,1.38517,1.89885,0.00104501,0.00104501,0.00104501
5,124.82,1.5635,1.33273,1.64464,0.64427,0.61721,0.64046,0.31544,1.56006,1.27827,1.78591,0.00102301,0.00102301,0.00102301
6,149.587,1.54791,1.27673,1.62689,0.70765,0.66472,0.72808,0.37532,1.57678,1.15224,1.83162,0.00100101,0.00100101,0.00100101
7,173.695,1.50006,1.23509,1.58372,0.66565,0.69555,0.7649,0.38382,1.54976,1.08389,1.73461,0.000979013,0.000979013,0.000979013
8,197.519,1.51222,1.22911,1.60471,0.74958,0.69179,0.78102,0.41786,1.49692,1.02095,1.70258,0.000957015,0.000957015,0.000957015
9,219.789,1.52174,1.1923,1.59068,0.80756,0.6526,0.77288,0.39009,1.55614,1.05629,1.74754,0.000935018,0.000935018,0.000935018
10,243.234,1.47812,1.17113,1.578,0.74547,0.7358,0.82406,0.42989,1.47125,0.9749,1.67518,0.00091302,0.00091302,0.00091302
11,267.743,1.46382,1.13816,1.55295,0.72937,0.79446,0.84704,0.43651,1.50847,0.91527,1.70088,0.000891022,0.000891022,0.000891022
12,293.792,1.43647,1.08532,1.54535,0.78338,0.72956,0.79481,0.41769,1.50279,0.95311,1.70052,0.000869024,0.000869024,0.000869024
13,317.132,1.44001,1.09583,1.54688,0.78138,0.75958,0.84331,0.43174,1.46514,0.89953,1.67044,0.000847026,0.000847026,0.000847026
14,339.204,1.41731,1.08381,1.54607,0.85735,0.71574,0.80743,0.45109,1.46768,0.87033,1.66426,0.000825029,0.000825029,0.000825029
15,362.413,1.41051,1.05481,1.52894,0.78808,0.77273,0.80729,0.41123,1.55492,0.90886,1.71796,0.000803031,0.000803031,0.000803031
16,387.138,1.40418,1.03325,1.50977,0.7544,0.77158,0.80605,0.43181,1.48119,0.93513,1.67289,0.000781033,0.000781033,0.000781033
17,411.502,1.39467,1.02967,1.51862,0.79591,0.7897,0.84477,0.46348,1.46115,0.85651,1.68181,0.000759035,0.000759035,0.000759035
18,436.463,1.37795,1.01048,1.51154,0.76679,0.80647,0.86716,0.48494,1.44586,0.80117,1.65978,0.000737037,0.000737037,0.000737037
19,461.602,1.38242,1.018,1.52176,0.80872,0.78743,0.82954,0.44019,1.44212,0.85887,1.66279,0.00071504,0.00071504,0.00071504
20,485.191,1.37159,0.98137,1.50178,0.75553,0.80433,0.86971,0.4791,1.41311,0.81376,1.63389,0.000693042,0.000693042,0.000693042
21,507.346,1.37895,0.98598,1.50406,0.82831,0.84946,0.89165,0.48783,1.44215,0.79335,1.6577,0.000671044,0.000671044,0.000671044
22,529.879,1.34477,0.96131,1.49174,0.832,0.78871,0.85739,0.47038,1.45242,0.84278,1.66582,0.000649046,0.000649046,0.000649046
23,552.912,1.34268,0.96099,1.478,0.72512,0.85043,0.8771,0.47093,1.42641,0.79181,1.63201,0.000627048,0.000627048,0.000627048
24,576.621,1.325,0.93948,1.46394,0.84921,0.80191,0.87464,0.49053,1.40201,0.7573,1.59933,0.000605051,0.000605051,0.000605051
25,599.005,1.3331,0.9299,1.47143,0.82906,0.82199,0.86976,0.47143,1.44018,0.78722,1.63556,0.000583053,0.000583053,0.000583053
26,621.743,1.32327,0.92203,1.46072,0.81311,0.81292,0.8679,0.47137,1.44077,0.75063,1.63664,0.000561055,0.000561055,0.000561055
27,645.358,1.30791,0.90699,1.46256,0.82272,0.83407,0.90099,0.49592,1.42038,0.75677,1.63173,0.000539057,0.000539057,0.000539057
28,667.546,1.31386,0.91799,1.45604,0.85441,0.77808,0.85543,0.49385,1.39787,0.75404,1.6063,0.000517059,0.000517059,0.000517059
29,691.602,1.31277,0.88161,1.44337,0.84701,0.78551,0.87039,0.47714,1.42744,0.77935,1.63566,0.000495062,0.000495062,0.000495062
30,717.914,1.30476,0.884,1.45044,0.84771,0.83127,0.88695,0.49888,1.40531,0.74475,1.63384,0.000473064,0.000473064,0.000473064
31,742.153,1.28393,0.85519,1.42615,0.82463,0.82083,0.86146,0.48218,1.40369,0.75033,1.6207,0.000451066,0.000451066,0.000451066
32,766.471,1.29292,0.8727,1.44195,0.84845,0.83088,0.88113,0.50643,1.41109,0.73238,1.62121,0.000429068,0.000429068,0.000429068
33,792.276,1.2605,0.84554,1.41615,0.81016,0.80546,0.85342,0.48772,1.3912,0.71632,1.61239,0.00040707,0.00040707,0.00040707
34,818.061,1.25959,0.83569,1.41535,0.82157,0.82533,0.86654,0.50161,1.38766,0.72137,1.60281,0.000385073,0.000385073,0.000385073
35,840.359,1.23434,0.84191,1.4001,0.83129,0.84263,0.88824,0.50391,1.36401,0.71035,1.57195,0.000363075,0.000363075,0.000363075
36,862.458,1.23177,0.81677,1.39472,0.82738,0.83301,0.88329,0.49605,1.38944,0.71543,1.59884,0.000341077,0.000341077,0.000341077
37,885.261,1.24137,0.81357,1.40097,0.90373,0.78657,0.86725,0.50294,1.38814,0.71792,1.58627,0.000319079,0.000319079,0.000319079
38,907.602,1.22549,0.81832,1.39602,0.8541,0.84373,0.89735,0.50861,1.37141,0.69533,1.59955,0.000297081,0.000297081,0.000297081
39,930.457,1.2224,0.79564,1.39302,0.87269,0.84729,0.89092,0.51779,1.35606,0.71174,1.58136,0.000275084,0.000275084,0.000275084
40,955.028,1.22322,0.78761,1.37412,0.85523,0.81042,0.88268,0.5055,1.37119,0.70511,1.58507,0.000253086,0.000253086,0.000253086
41,1024.42,1.07741,0.6085,1.29851,0.86015,0.84885,0.89501,0.51591,1.39389,0.68692,1.61983,0.000231088,0.000231088,0.000231088
42,1049.1,1.05945,0.58633,1.28362,0.85325,0.75982,0.85293,0.49896,1.37601,0.68948,1.60349,0.00020909,0.00020909,0.00020909
