epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8572,1.51475,1.91794,1.7846,0.73722,0.50769,0.55687,0.28787,1.51839,1.40589,1.86756,0.000485085,0.000485085,0.000485085
2,30.1702,1.47037,1.38771,1.70323,0.56587,0.48245,0.53646,0.2536,1.55695,1.90455,1.9338,0.00096591,0.00096591,0.00096591
3,43.17,1.48845,1.33202,1.72537,0.64541,0.53227,0.62949,0.29031,1.62628,1.3499,1.96374,0.00108355,0.00108355,0.00108355
4,56.1341,1.4852,1.28996,1.72,0.76044,0.51271,0.61905,0.31265,1.54305,1.27016,1.88547,0.00106982,0.00106982,0.00106982
5,69.171,1.47559,1.28775,1.72585,0.76292,0.59385,0.72628,0.38078,1.43185,1.09359,1.82699,0.00105609,0.00105609,0.00105609
6,82.2446,1.44834,1.24657,1.70111,0.61805,0.66668,0.69064,0.34285,1.52141,1.18417,1.88337,0.00104237,0.00104237,0.00104237
7,95.2126,1.43715,1.16233,1.7033,0.60854,0.58039,0.65323,0.32915,1.53379,1.1431,1.86302,0.00102864,0.00102864,0.00102864
8,108.142,1.41384,1.16958,1.67527,0.71491,0.71886,0.77314,0.40362,1.41124,0.98484,1.74697,0.00101491,0.00101491,0.00101491
9,121.146,1.40009,1.1257,1.66782,0.75324,0.74842,0.80125,0.42244,1.47038,0.97942,1.83369,0.00100119,0.00100119,0.00100119
10,134.158,1.38644,1.1275,1.65973,0.77501,0.73294,0.798,0.43504,1.42721,0.9761,1.78211,0.000987461,0.000987461,0.000987461
11,147.242,1.38274,1.1191,1.64674,0.79417,0.72807,0.77413,0.42435,1.39734,0.97111,1.72958,0.000973735,0.000973735,0.000973735
12,160.233,1.36356,1.0652,1.62451,0.81232,0.762,0.79906,0.43329,1.40642,0.90369,1.74203,0.000960008,0.000960008,0.000960008
13,173.204,1.34791,1.0583,1.62632,0.8195,0.64903,0.78186,0.40466,1.48592,0.95917,1.83342,0.000946281,0.000946281,0.000946281
14,186.321,1.34136,1.06673,1.60897,0.72767,0.77905,0.82014,0.43493,1.44555,0.90973,1.78255,0.000932555,0.000932555,0.000932555
15,199.431,1.31719,1.0126,1.58559,0.77763,0.78907,0.84674,0.44675,1.40307,0.86315,1.75538,0.000918828,0.000918828,0.000918828
16,212.748,1.32191,1.01293,1.6033,0.75573,0.76575,0.81956,0.4601,1.3978,0.90363,1.7342,0.000905102,0.000905102,0.000905102
17,225.892,1.31368,1.00057,1.59022,0.86025,0.72698,0.85883,0.46628,1.37861,0.86661,1.72897,0.000891375,0.000891375,0.000891375
